whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
hoffnungslos,hoffnungslos,7.58,7.719183445,8.98,9.1065759659
im,im,8.98,9.4334697723,9.58,9.6261224747
dunkel,dunkel,9.58,9.6261224747,10.3,10.4261226654
meines,meines,10.3,10.4261226654,11.36,11.3502044678
seins,seins,11.36,11.3502044678,12.64,12.727437973
raste,raste,12.64,13.4922447205,14.04,14.4457139969
ich,ich,14.04,14.4457139969,14.66,14.686621666
dahin,dahin,14.66,14.7461223602,15.94,16.6538772583
suchte,suchte,16.76,17.2897968292,17.94,17.9428577423
nach,nach,17.94,17.9428577423,18.48,18.5959186554
dem,dem,18.48,18.5959186554,19.26,19.3364181519
sinn,sinn,19.26,19.3364181519,19.78,20.316734314
meines,meines,19.78,20.316734314,21.06,21.1722450256
lebens,lebens,21.06,21.1722450256,22.08,23.1764163971
voller,voller,24.700000000000003,25.5825843811,26.1,25.9948291779
angst,angst,26.1,26.1322441101,26.54,26.667755127
war,war,26.54,26.667755127,26.94,27.1118373871
ich,ich,26.94,27.1118373871,27.48,27.5657138824
gefangen,gefangen,27.48,27.5657138824,28.56,29.0031738281
suchte,suchte,29.12,29.4497966766,30.1,30.2759189606
nach,nach,30.1,30.2759189606,30.68,30.7624492645
dem,dem,30.68,30.7624492645,31.3,31.2473468781
ziel,ziel,31.3,31.4089794159,32.12,32.4571418762
hasste,hasste,32.12,33.3061218262,33.92,34.256690979
dieses,dieses,33.92,34.3477554321,34.7,34.8125152588
spiel,spiel,34.7,34.8125152588,35.42,35.649887085
meines,meines,35.42,35.8574142456,36.5,36.5583686829
lebens,lebens,36.5,36.5583686829,37.46,38.7192726135
wahrheit,wahrheit,40.4,41.0840797424,41.8,41.7741508484
war,war,41.8,41.9069404602,42.14,42.305305481
mir,mir,42.14,42.305305481,42.48,42.520816803
fremd,fremd,42.48,42.520816803,43.02,42.9077568054
zu,zu,43.02,43.0367355347,43.26,43.2359199524
schwer,schwer,43.26,43.2359199524,43.96,44.0598640442
an,anerkennung,44.56,44.5126533508,44.96,46.4359169006
erkennung,galt,44.96,46.4359169006,46.36,48.2539672852
galt,denn,46.36,48.8722000122,47.72,49.0808181763
denn,mein,47.72,49.0808181763,49.0,49.2901573181
mein,herz,49.0,49.2901573181,49.28,49.8514289856
herz,war,49.28,49.8514289856,49.74,50.0375518799
war,kalt,49.74,50.0375518799,50.0,50.8299331665
kalt,ohne,50.0,51.2587738037,50.68,51.9140129089
ohne,liebe,50.68,51.9140129089,51.78,54.1257133484
liebe,jesus,51.78,60.0584144592,52.64,61.0799102783
jesus,da,59.24,61.4204063416,60.64,61.9199981689
da,wurdest,61.44,61.9199981689,61.76,62.7004089355
wurdest,du,61.76,62.7004089355,62.6,63.378868103
du,geboren,62.6,63.378868103,63.2,66.2421798706
geboren,licht,63.2,67.6212234497,64.74,68.4625854492
licht,für,66.69999999999999,69.0880737305,68.1,69.5756912231
für,meine,68.1,69.5756912231,69.36,70.5861206055
meine,dunkelheit,69.36,70.5861206055,70.34,73.8031768799
dunkelheit,hoffnung,70.34,75.427116394,73.12,76.8943328857
hoffnung,meiner,75.11999999999999,77.3311538696,76.52,77.9682540894
meiner,kalten,76.52,78.0702056885,77.92,79.1800460815
kalten,seele,77.92,79.2424468994,78.92,80.7473907471
seele,trost,78.92,81.2048950195,80.18,81.81224823
trost,in,80.18,81.81224823,81.76,82.1609039307
in,not,81.76,82.1609039307,82.08,82.7689819336
not,und,82.08,82.7689819336,82.68,83.1771392822
und,leid,82.68,83.1771392822,83.1,83.8385467529
leid,jesus,83.1,84.1600036621,83.8,87.1981887817
jesus,du,83.8,89.4661254883,85.64,89.7012252808
du,hast,88.22,89.7012252808,89.62,90.0506134033
hast,alles,89.62,90.0506134033,89.92,90.5868453979
alles,selbst,89.92,90.889793396,90.46,91.4938812256
selbst,erlebt,90.46,91.4938812256,91.34,92.5489349365
erlebt,hast,91.34,93.2669372559,92.42,93.5531997681
hast,den,92.42,93.5531997681,93.5,93.789390564
den,thron,93.5,93.789390564,93.74,94.2730178833
thron,verlassen,93.74,94.2730178833,94.18,95.7707061768
verlassen,fühltest,94.18,97.1232681274,95.86,98.1061248779
fühltest,lieben,96.64,98.1061248779,97.98,98.9170074463
lieben,hassen,97.98,99.0791854858,98.68,99.8889770508
hassen,dieser,98.68,99.8889770508,99.7,100.8442611694
dieser,welt,99.7,100.9306106567,100.58,102.2258529663
welt,du,100.58,104.9222640991,101.6,105.1080245972
du,verstehst,103.64,105.1080245972,105.04,105.942855835
verstehst,das,105.04,105.942855835,105.84,106.4380950928
das,tiefste,105.84,106.4380950928,106.34,107.1542892456
tiefste,leid,106.34,107.1542892456,107.04,107.9727859497
leid,blindheit,107.04,108.8126983643,107.98,109.5343322754
blindheit,weicht,107.98,109.6584091187,109.5,110.0977783203
weicht,vor,109.5,110.0977783203,110.08,110.7936477661
vor,dir,110.08,110.7936477661,110.64,111.8273010254
dir,schenkst,110.64,112.5765075684,111.22,113.0666656494
schenkst,dein,111.98,113.0666656494,113.08,113.5796813965
dein,licht,113.08,113.5796813965,113.38,113.9377746582
licht,auch,113.38,113.9377746582,113.86,114.1536483765
auch,mir,113.86,114.1536483765,114.14,114.9445800781
mir,jesus,114.14,115.1419525146,114.74,117.8935165405
jesus,für,114.74,120.4506149292,115.82,120.7060317993
für,dein,119.36,120.7060317993,120.52,121.0804519653
dein,kommen,120.52,121.1704330444,121.08,121.9098434448
kommen,ehr,121.08,121.9098434448,121.78,122.4711074829
ehr,ich,121.78,122.4711074829,122.4,122.6971435547
ich,dich,122.54,122.6971435547,122.66,123.6520614624
dich,majestät,122.66,124.32762146,123.24,125.2019958496
meister,vom,123.78,125.26222229,124.96,125.7882995605
hätt,all,124.96,125.8514251709,125.26,126.8796386719
vom,legst,125.42,128.1712493896,125.72,128.5054016113
all,dich,125.72,128.5054016113,126.34,128.6958770752
legst,in,126.34,128.6958770752,128.5,129.14793396
dich,den,128.5,129.14793396,128.64,129.3536529541
in,stall,128.64,129.3536529541,129.02,130.176864624
den,meines,129.02,130.6234893799,129.34,131.4006347656
stall,lebens,129.34,131.4006347656,129.84,134.0023651123
meines,jesus,129.84,139.3342437744,131.34,140.3916625977
lebens,du,131.34,140.7441253662,132.2,141.2495269775
jesus,wirst,138.46,141.2495269775,139.34,141.7676239014
du,in,139.86,141.7676239014,140.94,141.9149169922
wirst,mir,140.94,141.9149169922,141.7,142.7011413574
in,geboren,141.7,142.7011413574,141.98,145.3801422119
mir,licht,141.98,147.0200500488,142.58,147.7834014893
geboren,für,142.58,148.4364624023,144.1,148.9472961426
licht,meine,146.1,148.9472961426,147.5,149.963180542
für,dunkelheit,147.5,149.963180542,148.74,153.0688476562
meine,hoffnung,148.74,154.7961883545,149.66,156.4125213623
dunkelheit,meiner,149.66,156.6882476807,152.02,157.3355102539
licht,kalten,152.02,157.4704742432,152.02,158.6133270264
für,seele,152.02,158.6133270264,152.02,160.1915588379
meine,trost,152.02,160.5587310791,152.02,161.1301574707
dunkelheit,in,152.02,161.1301574707,153.02,161.5288848877
hoffnung,not,153.02,161.5288848877,155.62,162.1028594971
meiner,und,155.62,162.1028594971,157.3,162.5473022461
kalten,leid,157.3,162.5473022461,158.32,163.1608123779
seele,jesus,158.32,163.4514312744,159.56,166.548034668
trost,jesus,159.56,168.3784179688,161.12,169.4088897705
in,du,161.12,169.7523803711,161.52,170.2704772949
not,wirst,161.52,170.2704772949,162.0,170.8342895508
und,in,162.0,170.8342895508,162.46,171.0399932861
leid,mir,162.46,171.0399932861,163.14,171.6419067383
jesus,geboren,163.14,171.7155609131,164.94,173.9145507812
jesus,licht,167.57999999999998,176.0536956787,168.27999999999997,176.8054351807
jesus,für,168.98,177.4755554199,169.46,178.0469818115
du,meine,169.46,178.0469818115,169.96,179.0171356201
wirst,dunkelheit,169.96,179.0171356201,170.78,181.9254455566
in,hoffnung,170.78,183.8120574951,171.14,185.2778167725
mir,meiner,171.14,185.7015838623,171.64,186.3749694824
geboren,kalten,171.64,186.4736480713,172.84,187.6342926025
du,seele,172.84,187.6342926025,172.84,189.2223052979
wirst,trost,172.84,189.5720672607,172.84,190.1815948486
in,in,172.84,190.1815948486,172.84,190.5473022461
mir,not,172.84,190.5473022461,172.84,191.1045837402
geboren,und,172.84,191.1045837402,173.02,191.5682525635
licht,leid,175.76000000000002,191.5682525635,176.46,192.2351074219
für,jesus,176.46,192.6171417236,177.86,195.9009552002
meine,jesus,177.86,196.398727417,178.72,200.7597351074
dunkelheit,,178.72,,181.46,
hoffnung,,183.6,,185.0,
meiner,,185.0,,186.32,
kalten,,186.32,,187.34,
seele,,187.34,,188.68,
hoffnung,,204.98,,206.38,
meiner,,206.38,,206.46,
kalten,,206.46,,207.26,
seele,,207.26,,207.32,
vielen,,207.32,,207.34,
dank,,207.34,,207.34,
