whisper_text,actual_text,whisper_start,actual_start,whisper_end,actual_end
gerade,gerade,5.980000000000001,6.3847618103,6.8,7.1140136719
denk,denk,6.8,7.1140136719,7.54,7.7322449684
ich,ich,7.54,7.7322449684,7.84,7.9183673859
mir,mir,7.84,7.9183673859,8.18,8.3330612183
wie,wie,8.32,8.3330612183,8.48,8.5507478714
schön,schön,8.48,8.5507478714,8.9,9.1004085541
das,das,8.9,9.1004085541,9.28,9.3344221115
leben,leben,9.28,9.3344221115,9.66,9.8249435425
ist,ist,9.66,10.5708847046,10.72,10.8335599899
alles,alles,11.640000000000002,11.9771432877,12.46,12.5315189362
läuft,läuft,12.46,12.5997276306,12.78,12.8478908539
gut,gut,12.78,12.8478908539,13.3,13.3812246323
wie,wie,13.32,13.3812246323,13.5,13.5604534149
gut,gut,13.5,13.5604534149,13.78,13.8884353638
das,das,13.78,13.8884353638,14.1,14.1424036026
tut,tut,14.1,14.232380867,14.94,15.8403625488
die,die,16.92,17.6297512054,17.74,17.8445358276
liebe,liebe,17.74,17.8445358276,18.46,18.5469379425
das,das,18.92,18.9224491119,19.04,19.1314277649
geld,geld,19.04,19.1314277649,19.32,19.3306121826
stimmt,stimmt,19.32,19.4641265869,19.78,20.0489788055
alles,alles,20.18,20.192653656,20.48,20.5438556671
schick,schick,20.48,20.5438556671,21.14,21.848526001
ich,ich,22.89,23.1735153198,23.3,23.3418598175
fühle,fühle,23.3,23.3418598175,23.98,24.0152378082
mich,mich,23.98,24.0152378082,24.5,24.5768699646
wie,wie,24.5,24.6530609131,24.78,24.8097953796
hans,hans,24.78,24.8097953796,25.08,25.2114276886
im,im,25.08,25.2114276886,25.42,25.502040863
glück,glück,25.42,25.502040863,25.94,27.7043075562
das,das,32.16,32.8685722351,33.12,33.1951026917
ist,ist,33.12,33.1951026917,33.38,33.5281639099
die,die,33.38,33.5281639099,33.64,33.7966423035
zeit,zeit,33.64,33.7966423035,34.38,34.7438545227
für,für,34.38,35.0595932007,35.2,35.2848968506
veränderung,veränderung,35.2,35.2848968506,36.24,36.3199996948
mein,mein,36.36,36.3199996948,36.5,36.472743988
schiff,chef,36.5,36.472743988,36.68,36.7281646729
zeit,sagt,36.76,36.7281646729,36.9,36.946937561
für,zeit,36.9,36.946937561,38.06,37.6453514099
veränderung,für,38.06,37.958820343,39.32,38.1503868103
wir,veränderung,39.72,38.1503868103,40.26,39.4594116211
leben,wir,40.26,40.192653656,40.74,40.3983688354
die,leben,40.74,40.3983688354,40.9,40.8032646179
veränderung,die,40.9,40.8032646179,41.94,41.006439209
veränderung,veränderung,42.26,41.006439209,43.36,42.0208625793
halb,veränderung,43.36,42.2824478149,43.84,43.2761917114
jung,hält,43.84,43.4213142395,44.18,43.6999549866
ich,jung,47.86,43.7928352356,48.82,45.2063484192
packe,ich,48.82,48.6806335449,49.22,48.84897995
die,pack,49.22,48.84897995,49.5,49.1247177124
sachen,die,49.5,49.309387207,50.0,49.6210441589
an,sachen,50.0,49.6210441589,50.44,50.0995903015
denn,ein,50.78,50.0995903015,50.92,50.5614509583
morgen,denn,50.92,50.8048973083,51.44,51.0367355347
